[04-07-2019 13:50:23] - SN:XME9659010102682, MODELO:E965
[04-07-2019 13:52:20] - SN:XME9659010102739, MODELO:E965
[04-07-2019 13:52:23] - SN:XME9659010102740, MODELO:E965
[04-07-2019 13:52:25] - SN:XME9659010102741, MODELO:E965
[04-07-2019 13:52:26] - SN:XME9659010102742, MODELO:E965
[04-07-2019 13:52:28] - SN:XME9659010102743, MODELO:E965
[04-07-2019 13:52:31] - SN:XME9659010102744, MODELO:E965
[04-07-2019 13:52:33] - SN:XME9659010102745, MODELO:E965
[04-07-2019 13:52:34] - SN:XME9659010102746, MODELO:E965
[04-07-2019 13:52:37] - SN:XME9659010102747, MODELO:E965
[04-07-2019 13:52:38] - SN:XME9659010102748, MODELO:E965
[04-07-2019 13:52:40] - SN:XME9659010102749, MODELO:E965
[04-07-2019 13:52:42] - SN:XME9659010102750, MODELO:E965
[04-07-2019 13:52:44] - SN:XME9659010102751, MODELO:E965
[04-07-2019 13:52:46] - SN:XME9659010102752, MODELO:E965
[04-07-2019 13:52:48] - SN:XME9659010102753, MODELO:E965
[04-07-2019 13:52:50] - SN:XME9659010102754, MODELO:E965
[04-07-2019 13:52:52] - SN:XME9659010102755, MODELO:E965
[04-07-2019 13:52:54] - SN:XME9659010102756, MODELO:E965
[04-07-2019 13:52:56] - SN:XME9659010102757, MODELO:E965
[04-07-2019 13:52:58] - SN:XME9659010102758, MODELO:E965
[04-07-2019 13:53:00] - SN:XME9659010102759, MODELO:E965
[04-07-2019 13:53:02] - SN:XME9659010102760, MODELO:E965
[04-07-2019 13:53:04] - SN:XME9659010102761, MODELO:E965
[04-07-2019 13:53:05] - SN:XME9659010102762, MODELO:E965
[04-07-2019 13:53:08] - SN:XME9659010102763, MODELO:E965
[04-07-2019 13:53:09] - SN:XME9659010102764, MODELO:E965
[04-07-2019 13:53:11] - SN:XME9659010102765, MODELO:E965
[04-07-2019 13:53:13] - SN:XME9659010102766, MODELO:E965
[04-07-2019 13:53:15] - SN:XME9659010102767, MODELO:E965
[04-07-2019 13:53:17] - SN:XME9659010102768, MODELO:E965
[04-07-2019 13:53:19] - SN:XME9659010102769, MODELO:E965
[04-07-2019 13:53:21] - SN:XME9659010102770, MODELO:E965
[04-07-2019 13:53:23] - SN:XME9659010102771, MODELO:E965
[04-07-2019 13:53:25] - SN:XME9659010102772, MODELO:E965
[04-07-2019 13:53:27] - SN:XME9659010102773, MODELO:E965
[04-07-2019 13:53:29] - SN:XME9659010102774, MODELO:E965
[04-07-2019 13:53:31] - SN:XME9659010102775, MODELO:E965
[04-07-2019 13:53:33] - SN:XME9659010102776, MODELO:E965
[04-07-2019 13:53:35] - SN:XME9659010102777, MODELO:E965
[04-07-2019 13:53:38] - SN:XME9659010102778, MODELO:E965
[04-07-2019 13:53:40] - SN:XME9659010102779, MODELO:E965
[04-07-2019 13:53:42] - SN:XME9659010102780, MODELO:E965
[04-07-2019 13:53:44] - SN:XME9659010102781, MODELO:E965
[04-07-2019 13:53:46] - SN:XME9659010102782, MODELO:E965
[04-07-2019 13:53:48] - SN:XME9659010102783, MODELO:E965
[04-07-2019 13:53:50] - SN:XME9659010102784, MODELO:E965
[04-07-2019 13:53:52] - SN:XME9659010102785, MODELO:E965
[04-07-2019 13:53:54] - SN:XME9659010102786, MODELO:E965
[04-07-2019 13:53:56] - SN:XME9659010102787, MODELO:E965
[04-07-2019 13:53:58] - SN:XME9659010102788, MODELO:E965
[04-07-2019 13:54:00] - SN:XME9659010102789, MODELO:E965
[04-07-2019 13:54:02] - SN:XME9659010102790, MODELO:E965
[04-07-2019 13:54:03] - SN:XME9659010102791, MODELO:E965
[04-07-2019 13:54:05] - SN:XME9659010102792, MODELO:E965
[04-07-2019 13:54:07] - SN:XME9659010102793, MODELO:E965
[04-07-2019 13:54:09] - SN:XME9659010102794, MODELO:E965
[04-07-2019 13:54:12] - SN:XME9659010102795, MODELO:E965
[04-07-2019 13:54:14] - SN:XME9659010102796, MODELO:E965
[04-07-2019 13:54:16] - SN:XME9659010102797, MODELO:E965
[04-07-2019 13:54:18] - SN:XME9659010102798, MODELO:E965
[04-07-2019 13:54:21] - SN:XME9659010102799, MODELO:E965
[04-07-2019 13:54:22] - SN:XME9659010102800, MODELO:E965
[04-07-2019 13:54:24] - SN:XME9659010102801, MODELO:E965
[04-07-2019 13:54:26] - SN:XME9659010102802, MODELO:E965
[04-07-2019 13:54:28] - SN:XME9659010102803, MODELO:E965
[04-07-2019 13:54:30] - SN:XME9659010102804, MODELO:E965
[04-07-2019 13:54:32] - SN:XME9659010102805, MODELO:E965
[04-07-2019 13:54:34] - SN:XME9659010102806, MODELO:E965
[04-07-2019 13:54:36] - SN:XME9659010102807, MODELO:E965
[04-07-2019 13:54:38] - SN:XME9659010102808, MODELO:E965
[04-07-2019 13:54:40] - SN:XME9659010102809, MODELO:E965
[04-07-2019 13:54:42] - SN:XME9659010102810, MODELO:E965
[04-07-2019 13:54:44] - SN:XME9659010102811, MODELO:E965
[04-07-2019 13:54:46] - SN:XME9659010102812, MODELO:E965
[04-07-2019 13:54:48] - SN:XME9659010102813, MODELO:E965
[04-07-2019 13:54:50] - SN:XME9659010102814, MODELO:E965
[04-07-2019 13:54:53] - SN:XME9659010102815, MODELO:E965
[04-07-2019 13:54:55] - SN:XME9659010102816, MODELO:E965
[04-07-2019 13:54:58] - SN:XME9659010102817, MODELO:E965
[04-07-2019 13:55:00] - SN:XME9659010102818, MODELO:E965
[04-07-2019 13:55:02] - SN:XME9659010102819, MODELO:E965
[04-07-2019 13:55:04] - SN:XME9659010102820, MODELO:E965
[04-07-2019 13:55:06] - SN:XME9659010102821, MODELO:E965
[04-07-2019 13:55:08] - SN:XME9659010102822, MODELO:E965
[04-07-2019 13:55:10] - SN:XME9659010102823, MODELO:E965
[04-07-2019 13:55:12] - SN:XME9659010102824, MODELO:E965
[04-07-2019 13:55:14] - SN:XME9659010102825, MODELO:E965
[04-07-2019 13:55:15] - SN:XME9659010102826, MODELO:E965
[04-07-2019 13:55:17] - SN:XME9659010102827, MODELO:E965
[04-07-2019 13:55:19] - SN:XME9659010102828, MODELO:E965
[04-07-2019 13:55:21] - SN:XME9659010102829, MODELO:E965
[04-07-2019 13:55:23] - SN:XME9659010102830, MODELO:E965
[04-07-2019 13:55:25] - SN:XME9659010102831, MODELO:E965
[04-07-2019 13:55:27] - SN:XME9659010102832, MODELO:E965
[04-07-2019 13:55:29] - SN:XME9659010102833, MODELO:E965
[04-07-2019 13:55:32] - SN:XME9659010102834, MODELO:E965
[04-07-2019 13:55:34] - SN:XME9659010102835, MODELO:E965
[04-07-2019 13:55:36] - SN:XME9659010102836, MODELO:E965
[04-07-2019 13:55:39] - SN:XME9659010102837, MODELO:E965
[04-07-2019 13:55:43] - SN:XME9659010102838, MODELO:E965
[04-07-2019 13:55:45] - SN:XME9659010102839, MODELO:E965
[04-07-2019 13:55:47] - SN:XME9659010102840, MODELO:E965
[04-07-2019 13:55:49] - SN:XME9659010102841, MODELO:E965
[04-07-2019 13:55:51] - SN:XME9659010102842, MODELO:E965
[04-07-2019 13:55:53] - SN:XME9659010102843, MODELO:E965
[04-07-2019 13:55:55] - SN:XME9659010102844, MODELO:E965
[04-07-2019 13:55:57] - SN:XME9659010102845, MODELO:E965
[04-07-2019 13:55:59] - SN:XME9659010102846, MODELO:E965
[04-07-2019 13:56:01] - SN:XME9659010102847, MODELO:E965
[04-07-2019 13:56:03] - SN:XME9659010102848, MODELO:E965
[04-07-2019 13:56:04] - SN:XME9659010102849, MODELO:E965
[04-07-2019 13:56:06] - SN:XME9659010102850, MODELO:E965
[04-07-2019 13:56:08] - SN:XME9659010102851, MODELO:E965
[04-07-2019 13:56:10] - SN:XME9659010102852, MODELO:E965
[04-07-2019 13:56:12] - SN:XME9659010102853, MODELO:E965
[04-07-2019 13:56:14] - SN:XME9659010102854, MODELO:E965
[04-07-2019 13:56:16] - SN:XME9659010102855, MODELO:E965
[04-07-2019 13:56:18] - SN:XME9659010102856, MODELO:E965
[04-07-2019 13:56:20] - SN:XME9659010102857, MODELO:E965
[04-07-2019 13:56:22] - SN:XME9659010102858, MODELO:E965
[04-07-2019 13:56:24] - SN:XME9659010102859, MODELO:E965
[04-07-2019 13:56:26] - SN:XME9659010102860, MODELO:E965
[04-07-2019 13:56:28] - SN:XME9659010102861, MODELO:E965
[04-07-2019 13:56:30] - SN:XME9659010102862, MODELO:E965
[04-07-2019 13:56:32] - SN:XME9659010102863, MODELO:E965
[04-07-2019 13:56:34] - SN:XME9659010102864, MODELO:E965
[04-07-2019 13:56:36] - SN:XME9659010102865, MODELO:E965
[04-07-2019 13:56:38] - SN:XME9659010102866, MODELO:E965
[04-07-2019 13:56:41] - SN:XME9659010102867, MODELO:E965
[04-07-2019 13:56:43] - SN:XME9659010102868, MODELO:E965
[04-07-2019 13:56:45] - SN:XME9659010102869, MODELO:E965
[04-07-2019 13:56:48] - SN:XME9659010102870, MODELO:E965
[04-07-2019 13:56:49] - SN:XME9659010102871, MODELO:E965
[04-07-2019 13:56:51] - SN:XME9659010102872, MODELO:E965
[04-07-2019 13:56:53] - SN:XME9659010102873, MODELO:E965
[04-07-2019 13:56:55] - SN:XME9659010102874, MODELO:E965
[04-07-2019 13:56:57] - SN:XME9659010102875, MODELO:E965
[04-07-2019 13:56:59] - SN:XME9659010102876, MODELO:E965
[04-07-2019 13:57:01] - SN:XME9659010102877, MODELO:E965
[04-07-2019 13:57:03] - SN:XME9659010102878, MODELO:E965
[04-07-2019 13:57:05] - SN:XME9659010102879, MODELO:E965
[04-07-2019 13:57:07] - SN:XME9659010102880, MODELO:E965
[04-07-2019 13:57:09] - SN:XME9659010102881, MODELO:E965
[04-07-2019 14:09:46] - SN:ZABRBA1927006NX, MODELO:TG1692BR-SMT
[04-07-2019 14:09:46] - SN:ZABRBA1927006NY, MODELO:TG1692BR-SMT
[04-07-2019 14:11:08] - SN:9742B2576500001, MODELO:TG1692BR
[04-07-2019 14:11:08] - SN:9742B2576500002, MODELO:TG1692BR
[04-07-2019 14:12:31] - SN:9742B2576500001, MODELO:TG1692BR
[04-07-2019 14:12:34] - SN:9742B2576500002, MODELO:TG1692BR
[04-07-2019 14:21:10] - SN:ZAGBBA1927083VA;ZAGBBA1927083VB, MODELO:TG1692A-SMT
[04-07-2019 14:37:08] - SN:9742B2576500001, MODELO:TG1692BR
[04-07-2019 14:48:24] - SN:ZABRBA1927006NX;ZABRBA1927006NY, MODELO:TG1692BR-SMT
[04-07-2019 14:49:11] - SN:ZABRBA1927006NZ, MODELO:TG1692BR-SMT
[04-07-2019 14:49:11] - SN:ZABRBA1927006P0, MODELO:TG1692BR-SMT
[04-07-2019 15:04:09] - SN:ZABRBA1927006P1, MODELO:TG1692BR-SMT
[04-07-2019 15:04:19] - SN:ZABRBA1927006P2, MODELO:TG1692BR-SMT
[04-07-2019 15:04:43] - SN:ZABRBA1927006P3;ZABRBA1927006P4, MODELO:TG1692BR-SMT
[04-07-2019 15:13:17] - SN:ZABRBA1927006Q3, MODELO:TG1692BR-SMT
[04-07-2019 15:13:20] - SN:ZABRBA1927006Q4, MODELO:TG1692BR-SMT
[04-07-2019 15:13:23] - SN:ZABRBA1927006Q5, MODELO:TG1692BR-SMT
[04-07-2019 15:13:25] - SN:ZABRBA1927006Q6, MODELO:TG1692BR-SMT
[04-07-2019 15:14:40] - SN:ZABRBA1927006Q7;ZABRBA1927006Q8, MODELO:TG1692BR-SMT
[04-07-2019 15:15:34] - SN:ZABRBA1927006Q9;ZABRBA1927006QA, MODELO:TG1692BR-SMT
[04-07-2019 15:19:19] - SN:ZABRBA1927006QB, MODELO:TG1692BR-SMT
[04-07-2019 15:19:21] - SN:ZABRBA1927006QC, MODELO:TG1692BR-SMT
[04-07-2019 15:19:24] - SN:ZABRBA1927006QD, MODELO:TG1692BR-SMT
[04-07-2019 15:19:27] - SN:ZABRBA1927006QE, MODELO:TG1692BR-SMT
[04-07-2019 15:19:29] - SN:ZABRBA1927006QF, MODELO:TG1692BR-SMT
[04-07-2019 15:19:32] - SN:ZABRBA1927006QG, MODELO:TG1692BR-SMT
[04-07-2019 15:19:35] - SN:ZABRBA1927006QH, MODELO:TG1692BR-SMT
[04-07-2019 15:19:37] - SN:ZABRBA1927006QJ, MODELO:TG1692BR-SMT
[04-07-2019 15:19:40] - SN:ZABRBA1927006QK, MODELO:TG1692BR-SMT
[04-07-2019 15:19:43] - SN:ZABRBA1927006QL, MODELO:TG1692BR-SMT
[04-07-2019 15:31:46] - SN:ZAGBBA1927083VG;ZAGBBA1927083VH, MODELO:TG1692A-SMT
[04-07-2019 15:33:18] - SN:ZAGBBA1927083VJ;ZAGBBA1927083VK, MODELO:TG1692A-SMT
[04-07-2019 15:34:17] - SN:ZAGBBA1927083VL;ZAGBBA1927083VM, MODELO:TG1692A-SMT
[04-07-2019 15:35:07] - SN:ZAGBBA1927083VN;ZAGBBA1927083VP, MODELO:TG1692A-SMT
[04-07-2019 15:35:29] - SN:ZAGBBA1927083VQ;ZAGBBA1927083VR, MODELO:TG1692A-SMT
[04-07-2019 15:35:54] - SN:ZAGBBA1927083VS;ZAGBBA1927083VT, MODELO:TG1692A-SMT
[04-07-2019 15:36:36] - SN:ZAGBBA1927083VU;ZAGBBA1927083VV, MODELO:TG1692A-SMT
[28-12-2019 06:26:03] - SN:ZAGBBA19520873Q, MODELO:TG1692A-SMT
[28-12-2019 06:26:30] - SN:ZAGBBA19520873R, MODELO:TG1692A-SMT
[28-12-2019 07:17:49] - SN:ZAGBBA19520873Q, MODELO:TG1692A-SMT
[28-12-2019 07:17:58] - SN:ZAGBBA19520873R, MODELO:TG1692A-SMT
[28-12-2019 07:18:16] - SN:ZAGBBA19520873S, MODELO:TG1692A-SMT
[28-12-2019 07:18:22] - SN:ZAGBBA19520873T, MODELO:TG1692A-SMT
[28-12-2019 07:18:27] - SN:ZAGBBA19520873U, MODELO:TG1692A-SMT
[28-12-2019 07:18:31] - SN:ZAGBBA19520873V, MODELO:TG1692A-SMT
[28-12-2019 07:18:37] - SN:ZAGBBA19520873W, MODELO:TG1692A-SMT
[28-12-2019 07:18:42] - SN:ZAGBBA19520873X, MODELO:TG1692A-SMT
[28-12-2019 07:18:49] - SN:ZAGBBA19520873Y, MODELO:TG1692A-SMT
[28-12-2019 07:19:02] - SN:ZAGBBA19520873Z, MODELO:TG1692A-SMT
[28-12-2019 11:59:23] - SN:ZAGBBA19520873Q, MODELO:TG1692A-SMT
[28-12-2019 12:00:15] - SN:ZAGBBA19520873R, MODELO:TG1692A-SMT
[28-12-2019 12:04:31] - SN:ZAGBBA19520873Q, MODELO:TG1692A-SMT
[28-12-2019 12:04:38] - SN:ZAGBBA19520873R, MODELO:TG1692A-SMT
[28-12-2019 12:04:57] - SN:ZAGBBA19520873S, MODELO:TG1692A-SMT
[28-12-2019 12:06:05] - SN:ZAGBBA19520873T, MODELO:TG1692A-SMT
[28-12-2019 12:06:21] - SN:ZAGBBA19520873U, MODELO:TG1692A-SMT
[28-12-2019 12:06:38] - SN:ZAGBBA19520873V, MODELO:TG1692A-SMT
[28-12-2019 12:08:14] - SN:ZAGBBA19520873Q, MODELO:TG1692A-SMT
[28-12-2019 12:08:16] - SN:ZAGBBA19520873R, MODELO:TG1692A-SMT
[28-12-2019 12:08:17] - SN:ZAGBBA19520873S, MODELO:TG1692A-SMT
[28-12-2019 12:08:19] - SN:ZAGBBA19520873T, MODELO:TG1692A-SMT
[28-12-2019 12:08:20] - SN:ZAGBBA19520873U, MODELO:TG1692A-SMT
[28-12-2019 12:08:22] - SN:ZAGBBA19520873V, MODELO:TG1692A-SMT
[28-12-2019 12:08:23] - SN:ZAGBBA19520873W, MODELO:TG1692A-SMT
[28-12-2019 12:08:25] - SN:ZAGBBA19520873X, MODELO:TG1692A-SMT
[28-12-2019 12:08:27] - SN:ZAGBBA19520873Y, MODELO:TG1692A-SMT
[28-12-2019 12:08:28] - SN:ZAGBBA19520873Z, MODELO:TG1692A-SMT
[28-12-2019 12:19:05] - SN:ZAGBBA19520873Q, MODELO:TG1692A-SMT
[28-12-2019 12:19:07] - SN:ZAGBBA19520873R, MODELO:TG1692A-SMT
[28-12-2019 12:19:08] - SN:ZAGBBA19520873S, MODELO:TG1692A-SMT
[28-12-2019 12:19:10] - SN:ZAGBBA19520873T, MODELO:TG1692A-SMT
[28-12-2019 12:19:11] - SN:ZAGBBA19520873U, MODELO:TG1692A-SMT
[28-12-2019 12:19:13] - SN:ZAGBBA19520873V, MODELO:TG1692A-SMT
[28-12-2019 12:19:14] - SN:ZAGBBA19520873W, MODELO:TG1692A-SMT
[28-12-2019 12:19:16] - SN:ZAGBBA19520873X, MODELO:TG1692A-SMT
[28-12-2019 12:19:17] - SN:ZAGBBA19520873Y, MODELO:TG1692A-SMT
[28-12-2019 12:19:19] - SN:ZAGBBA19520873Z, MODELO:TG1692A-SMT
[28-12-2019 13:16:00] - SN:ZAGBBA19520879L, MODELO:TG1692A-SMT
[28-12-2019 13:16:02] - SN:ZAGBBA19520879M, MODELO:TG1692A-SMT
[28-12-2019 13:16:04] - SN:ZAGBBA19520879N, MODELO:TG1692A-SMT
[28-12-2019 13:16:05] - SN:ZAGBBA19520879P, MODELO:TG1692A-SMT
[28-12-2019 13:16:07] - SN:ZAGBBA19520879Q, MODELO:TG1692A-SMT
[28-12-2019 13:16:08] - SN:ZAGBBA19520879R, MODELO:TG1692A-SMT
[28-12-2019 13:16:10] - SN:ZAGBBA19520879S, MODELO:TG1692A-SMT
[28-12-2019 13:16:11] - SN:ZAGBBA19520879T, MODELO:TG1692A-SMT
[28-12-2019 13:16:13] - SN:ZAGBBA19520879U, MODELO:TG1692A-SMT
[28-12-2019 13:16:15] - SN:ZAGBBA19520879V, MODELO:TG1692A-SMT
[28-12-2019 13:16:16] - SN:ZAGBBA19520879W, MODELO:TG1692A-SMT
[28-12-2019 13:16:18] - SN:ZAGBBA19520879X, MODELO:TG1692A-SMT
[28-12-2019 13:16:19] - SN:ZAGBBA19520879Y, MODELO:TG1692A-SMT
[28-12-2019 13:16:21] - SN:ZAGBBA19520879Z, MODELO:TG1692A-SMT
[28-12-2019 13:16:23] - SN:ZAGBBA1952087Z0, MODELO:TG1692A-SMT
[28-12-2019 13:16:24] - SN:ZAGBBA1952087Z1, MODELO:TG1692A-SMT
[28-12-2019 13:16:26] - SN:ZAGBBA1952087Z2, MODELO:TG1692A-SMT
[28-12-2019 13:16:27] - SN:ZAGBBA1952087Z3, MODELO:TG1692A-SMT
[28-12-2019 13:16:29] - SN:ZAGBBA1952087Z4, MODELO:TG1692A-SMT
[28-12-2019 13:16:30] - SN:ZAGBBA1952087Z5, MODELO:TG1692A-SMT
[28-12-2019 13:16:32] - SN:ZAGBBA1952087Z6, MODELO:TG1692A-SMT
[28-12-2019 13:16:33] - SN:ZAGBBA1952087Z7, MODELO:TG1692A-SMT
[28-12-2019 13:16:35] - SN:ZAGBBA1952087Z8, MODELO:TG1692A-SMT
[28-12-2019 13:16:36] - SN:ZAGBBA1952087Z9, MODELO:TG1692A-SMT
[28-12-2019 13:16:38] - SN:ZAGBBA19520870Z, MODELO:TG1692A-SMT
[28-12-2019 13:16:40] - SN:ZAGBBA195209810, MODELO:TG1692A-SMT
[28-12-2019 13:16:41] - SN:ZAGBBA195209811, MODELO:TG1692A-SMT
[28-12-2019 13:16:43] - SN:ZAGBBA195209812, MODELO:TG1692A-SMT
[28-12-2019 13:16:44] - SN:ZAGBBA195209813, MODELO:TG1692A-SMT
[28-12-2019 13:16:46] - SN:ZAGBBA195209814, MODELO:TG1692A-SMT
[28-12-2019 13:16:47] - SN:ZAGBBA195209815, MODELO:TG1692A-SMT
[28-12-2019 13:16:49] - SN:ZAGBBA195209816, MODELO:TG1692A-SMT
[28-12-2019 13:16:51] - SN:ZAGBBA195209817, MODELO:TG1692A-SMT
[28-12-2019 13:16:52] - SN:ZAGBBA195209818, MODELO:TG1692A-SMT
[28-12-2019 13:16:54] - SN:ZAGBBA195209819, MODELO:TG1692A-SMT
[28-12-2019 13:16:55] - SN:ZAGBBA19520Z92Z, MODELO:TG1692A-SMT
[28-12-2019 13:16:57] - SN:ZAGBBA195200Z30, MODELO:TG1692A-SMT
[28-12-2019 13:16:58] - SN:ZAGBBA195200Z31, MODELO:TG1692A-SMT
[28-12-2019 13:17:00] - SN:ZAGBBA195200Z32, MODELO:TG1692A-SMT
[28-12-2019 13:17:01] - SN:ZAGBBA195200Z33, MODELO:TG1692A-SMT
[28-12-2019 13:17:03] - SN:ZAGBBA195200Z34, MODELO:TG1692A-SMT
[28-12-2019 13:17:04] - SN:ZAGBBA195200Z35, MODELO:TG1692A-SMT
[28-12-2019 13:17:06] - SN:ZAGBBA195200Z36, MODELO:TG1692A-SMT
[28-12-2019 13:17:07] - SN:ZAGBBA195200Z37, MODELO:TG1692A-SMT
[28-12-2019 13:17:09] - SN:ZAGBBA195200Z38, MODELO:TG1692A-SMT
[28-12-2019 13:17:11] - SN:ZAGBBA195200Z39, MODELO:TG1692A-SMT
[28-12-2019 13:17:13] - SN:ZAGBBA19520104Z, MODELO:TG1692A-SMT
[28-12-2019 13:17:14] - SN:ZAGBBA195202150, MODELO:TG1692A-SMT
[28-12-2019 13:17:16] - SN:ZAGBBA195202151, MODELO:TG1692A-SMT
[28-12-2019 13:17:18] - SN:ZAGBBA195202152, MODELO:TG1692A-SMT
[28-12-2019 13:17:20] - SN:ZAGBBA195202153, MODELO:TG1692A-SMT
[28-12-2019 13:17:22] - SN:ZAGBBA195202154, MODELO:TG1692A-SMT
[28-12-2019 13:17:24] - SN:ZAGBBA195202155, MODELO:TG1692A-SMT
[28-12-2019 13:17:25] - SN:ZAGBBA195202156, MODELO:TG1692A-SMT
[28-12-2019 13:17:27] - SN:ZAGBBA195202157, MODELO:TG1692A-SMT
[28-12-2019 13:17:28] - SN:ZAGBBA195202158, MODELO:TG1692A-SMT
[28-12-2019 13:17:30] - SN:ZAGBBA195202159, MODELO:TG1692A-SMT
[28-12-2019 13:17:32] - SN:ZAGBBA19520326Z, MODELO:TG1692A-SMT
[28-12-2019 13:17:33] - SN:ZAGBBA195204370, MODELO:TG1692A-SMT
[28-12-2019 13:17:35] - SN:ZAGBBA195204371, MODELO:TG1692A-SMT
[28-12-2019 13:17:36] - SN:ZAGBBA195204372, MODELO:TG1692A-SMT
[28-12-2019 13:17:38] - SN:ZAGBBA195204373, MODELO:TG1692A-SMT
[28-12-2019 13:17:39] - SN:ZAGBBA195204374, MODELO:TG1692A-SMT
[28-12-2019 13:17:41] - SN:ZAGBBA195204375, MODELO:TG1692A-SMT
[28-12-2019 13:17:42] - SN:ZAGBBA195204376, MODELO:TG1692A-SMT
[28-12-2019 13:17:44] - SN:ZAGBBA195204377, MODELO:TG1692A-SMT
[28-12-2019 13:17:46] - SN:ZAGBBA195204378, MODELO:TG1692A-SMT
[28-12-2019 13:17:47] - SN:ZAGBBA195204379, MODELO:TG1692A-SMT
[28-12-2019 13:17:49] - SN:ZAGBBA19520548Z, MODELO:TG1692A-SMT
[28-12-2019 13:17:50] - SN:ZAGBBA195206590, MODELO:TG1692A-SMT
[28-12-2019 13:17:52] - SN:ZAGBBA195206591, MODELO:TG1692A-SMT
[28-12-2019 13:17:53] - SN:ZAGBBA195206592, MODELO:TG1692A-SMT
[28-12-2019 13:17:55] - SN:ZAGBBA195206593, MODELO:TG1692A-SMT
[28-12-2019 13:17:57] - SN:ZAGBBA195206594, MODELO:TG1692A-SMT
[28-12-2019 13:17:58] - SN:ZAGBBA195206595, MODELO:TG1692A-SMT
[28-12-2019 13:18:00] - SN:ZAGBBA195206596, MODELO:TG1692A-SMT
[28-12-2019 13:18:01] - SN:ZAGBBA195206597, MODELO:TG1692A-SMT
[28-12-2019 13:18:03] - SN:ZAGBBA195206598, MODELO:TG1692A-SMT
